Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
"Jair Bolsonaro xingou Michelle antes do desfile de 7 de setembro, mostra áudio #boato",9/9/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/jair-bolsonaro-xingou-michelle-antes-desfile-7-de-setembro-mostra-audio.html
Ursal e esquerda vão fraudar urnas eletrônicas em 2022 #boato,9/9/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/ursal-e-esquerda-vao-fraudar-urnas-eletronicas-em-2022.html
Deputada se encontra com FBI para prender Alexandre de Moraes #boato,9/12/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/deputada-se-encontra-com-fbi-para-prender-alexandre-de-moraes.html
Placa de carro fúnebre da rainha Elizabeth II é JB 0022 #boato,9/12/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/placa-carro-funebre-rainha-elizabeth-ii-jb-0022.html
Faqueiro de ouro dado pela rainha Elizabeth II foi roubado por Lula #boato,9/13/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/faqueiro-de-ouro-dado-pela-rainha-elizabeth-ii-foi-roubado-por-lula-boato.html
"Datafolha não aceita eleitores de Bolsonaro em pesquisa eleitoral, prova vídeo #boato",9/15/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/datafolha-nao-aceita-eleitores-de-bolsonaro-em-pesquisa-eleitoral-prova-video.html
"Ministro Benedito Gonçalves, do TSE, é fotografado com camiseta de apoio a Lula #boato",9/16/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/ministro-benedito-goncalves-tse-fotografado-com-camiseta-de-apoio-lula.html
Bolsonaro sofreu tentativa de atentado à faca no aterro do Flamengo (Rio de Janeiro) #boato,9/17/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-sofreu-tentativa-de-atentato-a-faca-no-aterro-do-flamengo-rio-de-janeiro.html
General chama Alexandre de Moraes e “bichona” e diz que ministro é apaixonado por Daniel Silveira #boato,9/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/general-chama-alexandre-de-moraes-e-bichona-e-diz-que-ministro-e-apaixonado-por-daniel-silveira.html
Pesquisa Ipec no Jornal Nacional mostra Bolsonaro na frente de Lula com 46% #boato,9/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pesquisa-ipec-jornal-nacional-mostra-bolsonaro-frente-de-lula-com-46.html
Igreja Católica acaba de fechar apoio à candidatura de Bolsonaro #boato,9/19/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/igreja-catolica-acaba-de-fechar-apoio-a-candidatura-de-bolsonaro.html
Militares do Exército responsáveis pelas urnas eletrônicas fizeram foto fazendo “L de Lula” #boato,9/20/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/militares-exercito-responsaveis-pelas-urnas-fizeram-foto-fazendo-l-de-lula.html
Rei Charles quer coroação só em 2023 para não ter que se encontrar com Bolsonaro #boato,9/22/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/rei-charles-quer-coroacao-2023-nao-ter-que-encontrar-bolsonaro.html
Vídeo mostra garis carregando urnas eletrônicas da Venezuela que serão escondidas pelo TSE na favela do Jacarezinho #boato,9/23/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/video-mostra-garis-carregando-urnas-eletronicas-da-venezuela-serao-escondidas-pelo-tse-na-favela-jacarezinho.html
Votar em Daniel Silveira anula o voto todo (inclusive em Bolsonaro) #boato,9/25/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/votar-daniel-silveira-anula-voto-todo-inclusive-em-bolsonaro.html
Globo entrou na justiça para entrevistar Adélio na véspera das eleições de 2022 #boato,9/26/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/globo-entrou-na-justica-para-entrevistar-adelio-na-vespera-das-eleicoes-de-2022-boato.html
Lula é flagrado bêbado durante comício com Eduardo Paes no Rio de Janeiro #boato,9/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-e-flagrado-bebado-durante-comicio-com-eduardo-paes-no-rio-de-janeiro.html
"Urnas eletrônicas estão sendo preparadas para fraude no sindicato do PT, mostra vídeo #boato",9/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/urnas-eletronicas-sendo-preparadas-fraude-sindicato-pt.html
Apertar “confirma” durante tela “confira seu voto” na urna eletrônica anula voto #boato,9/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/apertar-confirma-durante-tela-confira-seu-voto-urna-eletronica-anula-voto.html
Bolsonaro aumentou o Bolsa Atleta de R$ 1.000 para R$ 8.000 #boato,9/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-aumentou-bolsa-atleta.html
Urna eletrônica em Cordeiro (RJ) já está com votos contabilizados para Lula #boato,9/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/urna-eletronica-em-cordeiro-rj-ja-esta-com-votos-contabilizados-para-lula-boato.html
Plano de mesários bolsonaristas é não entregar comprovante de votação para alegar fraude nas urnas eletrônicas #boato,9/28/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/plano-de-mesarios-bolsonaristas-nao-entregar-comprovante-de-votacao-para-alegar-fraude-nas-urnas-eletronicas.html
Horário de votação das eleições de 2022 mudou e agora é entre 7h e 16h em todo o Brasil #boato,9/28/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/horario-de-votacao-das-eleicoes-de-2022-mudou-entre-7h-16h-todo-brasil.html
É proibido usar camisa da seleção brasileira no dia das eleições #boato,9/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/e-proibido-usar-camisa-da-selecao-brasileira-no-dia-das-eleicoes.html
Uso de máscaras e comprovante de vacinação são obrigatórios para votar nas eleições 2022 #boato,9/29/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/mascaras-comprovante-vacinacao-eleicoes-2022.html
"Urnas eletrônicas com 81% dos votos para Lula foram apreendidas em Serafina Corrêa (RS), no carro de Thiago Feronato #boato",9/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/urnas-eletronicas-81-dos-votos-para-lula-apreendidas-serafina-correa-rs-carro-de-thiago-feronato.html
Rui Costa determinou aquartelamento de policiais militares na Bahia no dia das eleições 2022 #boato,9/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/rui-costa-determinou-aquartelamento-de-policiais-militares-na-bahia-no-dia-das-eleicoes-2022.html
Lula usou tornozeleira eletrônica durante debate da Globo #boato,9/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-usou-tornozeleira-eletronica-durante-debate-globo.html
Suzane Von Richthofen é candidata a deputada pelo PT e é apoiada por Lula #boato,9/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/suzane-von-richthofen-candidata-deputada-pelo-pt-apoiada-por-lula.html
Bolsonaro exibiu cartaz “Globo lixo” em frente da sede da Globo após debate #boato,9/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-exibiu-cartaz-globo-lixo-frente-sede-da-globo-apos-debate.html
Principais fake news de 1º de outubro de 2022 (véspera das eleições 2022),10/1/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/tempo-real-principais-fake-news-1o-de-outubro-de-2022-vespera-das-eleicoes-2022.html
Vídeo mostra briga entre Randolfe e direção do PT na véspera das eleições de 2022 #boato,10/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/video-mostra-quebra-pau-entre-randolfe-direcao-pt-vespera-das-eleicoes-de-2022.html
Flávio Bolsonaro comprou mansão de R$ 10 milhões em Ilha Comprida (RJ) #boato,10/1/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/flavio-bolsonaro-mansao-ilha-comprida.html
Caminhoneiros vão fazer greve e parar o Brasil se Lula ganhar as eleições #boato,10/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/caminhoneiros-vao-fazer-greve-parar-brasil-se-lula-ganhar-eleicoes.html
"Bolsonaro acaba de ser reeleito em 1º turno, com 99% dos votos, na Nova Zelândia #boato",10/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-acaba-de-ser-reeleito-em-1o-turno-na-nova-zelandia.html
"Plano de governo de Lula prevê fim do combate ao tráfico, ideologia de gênero e Ministério da Verdade #boato",10/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/plano-de-governo-de-lula-preve-fim-do-combate-ao-trafico-ideologia-de-genero-e-ministerio-da-verdade-boato.html
Bolsonaro vence na Austrália e bolsonaristas comemoram vitória em vídeo de 2022 #boato,10/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-vence-australia-bolsonaristas-comemoram-vitoria.html
"Eleições já encerradas mostram que Bolsonaro venceu Lula na França, Alemanha e Portugal #boato",10/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-venceu-lula-franca-alemanha-portugal.html
"Barreiras (BA) tem 103 mil eleitores, mas Lula teve 213 mil votos #boato",10/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/barreiras-ba-103-mil-eleitores-mas-lula-213-mil-votos.html
"TSE informa que 7,2 milhões de votos foram anulados nas eleições de 2022 #boato",10/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tse-informa-72-milhoes-votos-foram-anulados-eleicoes-de-2022.html
